scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev1,kapusta2,12837,2657.61,65249.03,3879.00,1221.3899999999999,14.462139597159906
od1500k,vehev2,kapusta2,30366,5994.72,86057.51,6889.00,894.2799999999997,21.281613572497825
od1500k,vehev1,tpn2,12811,198.65,48388.70,1419.00,1220.35,91.69728202491861
od1500k,vehev3,no-preemption,12811,7223.28,99357.65,7955.00,731.7200000000003,
od1500k,vehev3,tpn2,22570,147.71,42478.40,878.00,730.29,93.89125768710635
od1500k,vehev3,no-preemption,25029,1537.73,50011.45,2269.00,731.27,
od1500k,vehev1,kapusta2,27548,1778.03,61643.01,2999.00,1220.97,-27.695346164895128
od1500k,vehev2,allgreen,20276,19732.23,186242.94,20629.00,896.7700000000004,-170.7611053708377
od1500k,vehev1,allgreen,31737,207.08,52516.63,1428.00,1220.92,93.52769825096578
od1500k,vehev2,kapusta2,27226,5004.39,90056.07,5900.00,895.6099999999997,50.48296129185466
od1500k,vehev2,allgreen,12837,19449.40,158438.50,20343.00,893.5999999999985,-237.0254206449601
od1500k,vehev2,tpn2,22570,1840.01,63070.53,2734.00,893.99,90.78486943883665
od1500k,vehev1,no-preemption,27226,4812.90,87749.08,6033.00,1220.1000000000004,
od1500k,vehev3,tpn,20276,644.94,53973.68,1377.00,732.06,71.17187185710645
od1500k,vehev1,tpn2,6325,3754.44,78451.85,4976.00,1221.56,-8.495402345352932
od1500k,vehev1,kapusta2,22737,3558.49,62272.28,4779.00,1220.5100000000002,4.6579357721965415
od1500k,vehev2,tpn2,10280,1195.05,51034.86,2089.00,893.95,56.49665274860487
od1500k,vehev3,tpn2,16250,104.81,43737.83,836.00,731.19,89.27270122001147
od1500k,vehev1,kapusta2,32668,3435.14,58087.54,4657.00,1221.8600000000001,0.8500284304924999
od1500k,vehev1,no-preemption,30366,1666.58,56577.06,2888.00,1221.42,
od1500k,vehev3,allgreen,24847,113.82,45377.92,845.00,731.1800000000001,92.25261037069305
od1500k,vehev1,no-preemption,25029,3287.02,67402.58,4508.00,1220.98,
od1500k,vehev1,allgreen,6479,231.18,58923.74,1452.00,1220.82,94.48264340520997
od1500k,vehev2,no-preemption,10280,2747.03,72819.46,3641.00,893.9699999999998,
od1500k,vehev2,tpn2,4771,3305.43,67939.40,4201.00,895.5700000000002,65.27209269096288
od1500k,vehev2,kapusta2,6325,67507.44,370679.00,68403.00,895.5599999999977,-122.08257600555311
od1500k,vehev2,allgreen,25029,2535.00,65889.02,3429.00,894.0,31.502777717732002
od1500k,vehev2,allgreen,30366,588.51,56384.88,1483.00,894.49,92.27210652099693
od1500k,vehev3,kapusta2,20276,1104.75,53900.25,1836.00,731.25,50.61885669075939
od1500k,vehev3,kapusta2,27226,2249.36,54578.05,2982.00,732.6399999999999,-130.07118893707553
od1500k,vehev2,tpn2,15239,836.13,54229.22,1731.00,894.87,94.07342144322357
od1500k,vehev3,allgreen,15239,108.51,42398.67,840.00,731.49,93.95911505015978
od1500k,vehev2,kapusta2,10280,8742.06,108470.58,9637.00,894.9400000000005,-218.23678663866062
od1500k,vehev2,kapusta,11718,64406.68,449355.85,65302.00,895.3199999999997,-89.04187430254014
od1500k,vehev2,kapusta2,14368,4820.29,83039.75,5715.00,894.71,45.412799362206194
od1500k,vehev3,tpn,22760,179.44,43072.57,910.00,730.56,81.68811421457073
od1500k,vehev3,kapusta2,15239,1006.26,55780.46,1738.00,731.74,43.98027011679824
od1500k,vehev2,tpn2,6325,2918.39,75229.83,3812.00,893.6100000000001,90.39922756678604
