scenario,ev,alg,metric,seed,value
od500k,vehev1,no-preemption,tl,11718,1587.96
od500k,vehev1,no-preemption,rt,11718,15529.76
od500k,vehev1,no-preemption,ttt,11718,2809.00
od500k,vehev2,allgreen,tl,32556,111.71
od500k,vehev2,allgreen,rt,32556,15608.31
od500k,vehev2,allgreen,ttt,32556,1006.00
od500k,vehev2,no-preemption,tl,6325,1621.55
od500k,vehev2,no-preemption,rt,6325,21057.61
od500k,vehev2,no-preemption,ttt,6325,2516.00
od500k,vehev2,kapusta2,tl,27548,1293.18
od500k,vehev2,kapusta2,rt,27548,21406.87
od500k,vehev2,kapusta2,ttt,27548,2188.00
od500k,vehev1,allgreen,tl,30616,351.68
od500k,vehev1,allgreen,rt,30616,17886.90
od500k,vehev1,allgreen,ttt,30616,1572.00
od500k,vehev1,allgreen,tl,10105,387.75
od500k,vehev1,allgreen,rt,10105,19622.69
od500k,vehev1,allgreen,ttt,10105,1608.00
od500k,vehev3,tpn2,tl,12811,94.95
od500k,vehev3,tpn2,rt,12811,13286.43
od500k,vehev3,tpn2,ttt,12811,826.00
od500k,vehev3,no-preemption,tl,6479,976.58
od500k,vehev3,no-preemption,rt,6479,22192.55
od500k,vehev3,no-preemption,ttt,6479,1708.00
od500k,vehev1,tpn2,tl,15239,284.20
od500k,vehev1,tpn2,rt,15239,20810.33
od500k,vehev1,tpn2,ttt,15239,1505.00
od500k,vehev2,tpn2,tl,17651,193.93
od500k,vehev2,tpn2,rt,17651,15960.59
od500k,vehev2,tpn2,ttt,17651,1089.00
od500k,vehev2,tpn2,tl,10105,238.20
od500k,vehev2,tpn2,rt,10105,14205.34
od500k,vehev2,tpn2,ttt,10105,1133.00
od500k,vehev1,no-preemption,tl,32556,1579.09
od500k,vehev1,no-preemption,rt,32556,21344.77
od500k,vehev1,no-preemption,ttt,32556,2800.00
od500k,vehev2,no-preemption,tl,20276,1877.02
od500k,vehev2,no-preemption,rt,20276,17686.58
od500k,vehev2,no-preemption,ttt,20276,2772.00
od500k,vehev1,kapusta2,tl,25029,272.07
od500k,vehev1,kapusta2,rt,25029,18420.76
od500k,vehev1,kapusta2,ttt,25029,1493.00
od500k,vehev3,kapusta,tl,10105,195.96
od500k,vehev3,kapusta,rt,10105,17458.04
od500k,vehev3,kapusta,ttt,10105,927.00
od500k,vehev3,allgreen,tl,21907,95.92
od500k,vehev3,allgreen,rt,21907,18757.33
od500k,vehev3,allgreen,ttt,21907,827.00
od500k,vehev3,no-preemption,tl,2094,975.62
od500k,vehev3,no-preemption,rt,2094,22296.36
od500k,vehev3,no-preemption,ttt,2094,1708.00
od500k,vehev1,tpn2,tl,27422,305.28
od500k,vehev1,tpn2,rt,27422,18122.46
od500k,vehev1,tpn2,ttt,27422,1526.00
od500k,vehev1,allgreen,tl,24847,364.57
od500k,vehev1,allgreen,rt,24847,14024.92
od500k,vehev1,allgreen,ttt,24847,1586.00
od500k,vehev2,allgreen,tl,24847,101.81
od500k,vehev2,allgreen,rt,24847,12911.19
od500k,vehev2,allgreen,ttt,24847,997.00
od500k,vehev1,no-preemption,tl,16993,1211.26
od500k,vehev1,no-preemption,rt,16993,15074.19
od500k,vehev1,no-preemption,ttt,16993,2432.00
od500k,vehev2,kapusta2,tl,32668,1647.55
od500k,vehev2,kapusta2,rt,32668,15050.59
od500k,vehev2,kapusta2,ttt,32668,2542.00
od500k,vehev3,no-preemption,tl,27422,1246.87
od500k,vehev3,no-preemption,rt,27422,18753.55
